,Company,industry,AccountID,ContactFirstName,ContactLastName,ContactTitle,Phone,Email,Website,Location,AnnualRevenue,TotalAccountBal
0,Broadcom,Technology,a9e654e8-08ea-461c-b446-080e0357c6e1,Matthew,Bernard,Senior Director,(452)310-2772,matthew.bernard@broadcom.com,http://hunt-gomez.com/,Denver,20465864,13808678
1,Cisco,Technology,d250a8a3-04a8-4a69-a08b-66ebe9b1f099,Jennifer,Thompson,Manager,+1-993-410-3046x733,jennifer.thompson@cisco.com,https://www.newman.net/,New York City,26354765,13483443
2,Palantir Technologies,Technology,148c9011-f9f2-47fa-9f80-52a1fca106dd,Tina,Spencer,Manager,+1-317-520-0529x323,tina.spencer@palantirtechnologies.com,http://www.thornton.com/,Chicago,42314471,47207154
3,Fiserv,Technology,41553d2e-1615-4ed1-981d-b8bce254d6a2,Gabriel,Rice,Consultant,(260)910-2731x847,gabriel.rice@fiserv.com,https://www.chase.com/,Chicago,36049514,39989545
4,Atlassian,Technology,996063e1-e6dc-4c3a-bb97-0d52e772f148,Rebecca,Bryant,Consultant,254-953-0035x54620,rebecca.bryant@atlassian.com,https://www.hooper-gomez.com/,Seattle,39251007,16755447
5,Leidos,Technology,23fbb927-21e5-40f4-86b4-82e34c131a14,Daniel,Byrd,VP,786.469.7975,daniel.byrd@leidos.com,https://jimenez.info/,Dallas,10727501,3635066
6,Duolingo,Technology,392f5a5a-26bd-4745-9b1a-fe3f8a025d00,Phillip,Wilson,Senior Director,700-351-5609x280,phillip.wilson@duolingo.com,http://www.gonzales.com/,Denver,23540502,19978765
7,Logitech,Technology,a331fa92-4b77-4dc3-8265-76e00c68939b,Lisa,Holt,Manager,209.874.0898x02144,lisa.holt@logitech.com,http://www.golden.com/,Chicago,38506012,22211717
8,Celestica,Technology,de201e35-6ae2-4a17-95fa-9d1797607850,Veronica,Smith,Consultant,+1-712-691-6988x3864,veronica.smith@celestica.com,http://short-fox.com/,Denver,31385861,25196266
9,Dropbox,Technology,860992a3-fc92-4486-aa27-ef0a0d3521c3,Laura,James,Director,(602)730-5106,laura.james@dropbox.com,https://harris.com/,Denver,16914937,32409416
10,Plexus,Technology,4a4699e7-21b6-4f90-b8e0-e71176d73f73,Kevin,Lyons,Senior Director,2363247103,kevin.lyons@plexus.com,http://ellis.biz/,Denver,28508716,9152324
11,Silicon Laboratories,Technology,9205a7a8-9138-4a90-85d2-435a0879ac79,Anthony,Summers,Senior Director,(558)776-8954x9189,anthony.summers@siliconlaboratories.com,https://butler.org/,Los Angeles,16267210,25342074
12,Mobix Labs,Technology,46824630-3383-4541-b6a4-b5b5c7c97e43,Alicia,Matthews,Consultant,001-218-240-3112x8242,alicia.matthews@mobixlabs.com,https://simon-thompson.com/,Seattle,2180527,28295284
13,Mariott,Hospitality,faad09d6-04c9-44a9-95f8-5fc9c22935d2,Ruben,Johnson,Senior Director,428.822.2598x5319,ruben.johnson@mariott.com,https://chapman.com/,Miami,14818545,46092778
14,InterContinental Hotels Group,Hospitality,bc86d81c-e4f2-4bfc-9ea4-90d697d8eeda,Andre,Hart,Director,+1-272-789-4647,andre.hart@intercontinentalhotelsgroup.com,https://lee-daniel.biz/,Washington DC,22544242,44026278
15,Sonder Holdings,Hospitality,741865dd-ee13-40a2-a29e-8b921e0d6b01,Linda,Parsons,Consultant,(595)501-4775,linda.parsons@sonderholdings.com,http://duarte.com/,New York City,12863254,45094401
16,Hyatt Hotels,Hospitality,629dd1fa-732d-4425-95ed-a436446c832d,Ronald,Garcia,Manager,+1-368-515-6104,ronald.garcia@hyatthotels.com,http://www.brewer.com/,Seattle,17224973,38045102
17,Royal Caribbean Cruises,Hospitality,6e79b897-8bde-4d9e-920d-d94dc967c487,Nicole,Romero,Director,001-472-672-3820x54944,nicole.romero@royalcaribbeancruises.com,https://www.mills.biz/,Miami,11049105,28027533
