,EmployeeID,FirstName,LastName,Title,Email,Phone,HireDate,Department
0,8110ca23-259b-4544-a81c-0625f69cd7d6,Crystal,Ellis,Director,christopherroth@example.org,+1-711-973-6949,2021-11-13,Finance
1,a8760663-48c8-417d-a30b-729a732c8672,Joshua,Wilson,Senior Consultant,smorrison@example.com,(817)772-7426,2020-07-01,Sales
2,309fd8ab-f3ae-409f-a7da-450d8ccf98e2,Breanna,Landry,Director,jonescourtney@example.org,652.588.8559x465,2022-02-14,Sales
3,8959300d-3da1-4d77-aea8-9b79908b3d31,Deborah,Martin,Director,richardgraham@example.org,001-611-658-5350,2022-09-05,Marketing
4,63abadbf-aad2-45e3-8fc1-5cd5600db80a,Jason,Martin,Manager,karen23@example.net,+1-875-842-2743x472,2020-10-01,Operations
5,89d53b58-bb93-473b-946b-522fa6229cc0,Vicki,Castro,Senior Consultant,kelliflowers@example.org,+1-689-294-0874x44633,2025-04-07,Finance
6,fcb23068-a9e4-47f7-be47-4348c51c7aa1,David,Rodriguez,Consultant,jennifer18@example.org,370-553-2933x85529,2023-02-11,Marketing
7,115e6149-13fe-4b74-8c74-cc768181eda2,Timothy,Brown,Senior Consultant,vincentgonzales@example.net,+1-667-484-7965,2021-01-29,Finance
8,a71a49a5-d554-42dd-b3cc-052102d8bcc4,Mary,Reed,Director,tonishepherd@example.org,(408)813-6584,2021-12-19,Operations
9,aab232fe-78d0-4ea6-af69-1cab68768838,Patricia,Bell,Manager,paguilar@example.com,(279)291-0406,2023-06-08,Sales
