Subject,Start Date,Start Time,End Date,End Time,Location,Description
Portfolio Review Planning,2025-01-03,10:00,2025-01-03,10:45,Teams Meeting,Exploring diversification options and next-quarter objectives.
Team Strategy Session,2024-12-30,09:00,2024-12-30,09:45,Teams Meeting,Discussing adjustments in light of recent market trends.
Team Strategy Session,2025-01-01,13:00,2025-01-01,13:30,Teams Meeting,Analyzing investment allocations and rebalancing recommendations.
Risk Assessment Meeting - Mark Lam,2025-01-02,08:00,2025-01-02,08:45,Teams Meeting,Discussion with Mark Lam (Lewis LLC) about their financial goals and performance. Reviewing account performance and aligning on strategic goals.
Mid-Year Financial Planning - Carlos Clayton,2024-12-31,13:00,2024-12-31,14:00,Teams Meeting,Discussion with Carlos Clayton (Burgess-Smith) about their financial goals and performance. Walking through onboarding documentation and answering questions.
Investment Strategy Check-In - Matthew Evans,2025-01-08,09:00,2025-01-08,09:45,Teams Meeting,"Discussion with Matthew Evans (Lowe, Parker and Castaneda) about their financial goals and performance. Walking through onboarding documentation and answering questions."
Onboarding Session - Matthew Evans,2025-01-06,16:00,2025-01-06,17:00,Teams Meeting,"Discussion with Matthew Evans (Lowe, Parker and Castaneda) about their financial goals and performance. Analyzing investment allocations and rebalancing recommendations."
Monthly Reporting Review,2025-01-10,09:00,2025-01-10,09:30,Teams Meeting,Reviewing account performance and aligning on strategic goals.
Team Strategy Session,2025-01-09,10:00,2025-01-09,11:00,Teams Meeting,Discussing adjustments in light of recent market trends.
Internal Training: Market Trends,2025-01-07,08:00,2025-01-07,08:30,Teams Meeting,Discussing adjustments in light of recent market trends.
Client Q&A Session - Matthew Evans,2025-01-16,15:00,2025-01-16,16:00,Teams Meeting,"Discussion with Matthew Evans (Lowe, Parker and Castaneda) about their financial goals and performance. Reviewing account performance and aligning on strategic goals."
Investment Strategy Check-In - Carlos Clayton,2025-01-15,10:00,2025-01-15,10:30,Teams Meeting,Discussion with Carlos Clayton (Burgess-Smith) about their financial goals and performance. Exploring diversification options and next-quarter objectives.
Compliance & Regulatory Update,2025-01-13,16:00,2025-01-13,17:00,Teams Meeting,Discussing adjustments in light of recent market trends.
Weekly Consultant Sync,2025-01-14,10:00,2025-01-14,10:30,Teams Meeting,Discussing adjustments in light of recent market trends.
Risk Assessment Meeting - Mark Lam,2025-01-17,16:00,2025-01-17,16:45,Teams Meeting,Discussion with Mark Lam (Lewis LLC) about their financial goals and performance. Reviewing account performance and aligning on strategic goals.
Investment Strategy Check-In - Mark Lam,2025-01-22,15:00,2025-01-22,15:30,Teams Meeting,Discussion with Mark Lam (Lewis LLC) about their financial goals and performance. Discussing adjustments in light of recent market trends.
Monthly Reporting Review,2025-01-20,14:00,2025-01-20,14:45,Teams Meeting,Walking through onboarding documentation and answering questions.
